property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,25-144,2025-04-25,authorize,True,The Sobrato Organization,"Pacific Housing, Inc.",122,20% at 60% AMI; 80% at 80% AMI,30,18300.0,"Grant up to $10,000 (Charitable Affordable Housing)"
SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,25-145,2025-04-25,authorize,True,The Sobrato Organization,"Pacific Housing, Inc.",112,20% at 60% AMI; 80% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
685 W 4th Apartments,2 SIOF 685 W Fourth St. LP,Los Angeles,Los Angeles,25-146,2025-04-25,authorize,True,"SoLa Impact, LLC",Housing on Merit,28,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Summer House Apartments,"The Michaels Development Company I, L.P. or an affiliate",Alameda,Alameda,,2025-04-25,preliminary_only,False,The Michaels Organization,"Pacific Housing, Inc.",615,100% at 80% AMI,30,68625.0,"Grant up to $10,000 (Charitable Affordable Housing)"
569 W 6th Apartments,"SIOF 5 Properties, LP",Los Angeles,Los Angeles,25-147,2025-04-25,authorize,True,"SoLa Impact, LLC",Housing on Merit,48,100% at 80% AMI,30,7050.0,"Grant up to $10,000 (Charitable Affordable Housing)"
1540 W Court Apartments,"1540 W. Court Street, LP",Los Angeles,Los Angeles,25-207,2025-05-16,authorize,True,Visionary Development Enterprises LLC,Housing on Merit,189,78% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Sol Haus Apartments,"Sol Haus Owner LP, California Limited Partnership",San Diego,San Diego,25-209,2025-05-16,authorize,True,CONAM Management Corporation,Las Palmas Housing & Development Corporation,147,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Palmilla Apartments,BWF III Ethos CA Palmilla LP,San Diego,San Diego,25-208,2025-05-16,authorize,True,Ethos Real Estate,"Casa Major, Inc.",203,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Waterbend Apartments,Axis Fee Owner LP,,San Francisco,25-219,2025-05-16,authorize,True,TruAmerica Multifamily LLC,Affordable Housing Access,136,15% at 55% AMI; 85% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-229,2025-05-30,authorize,True,"Vintage Housing Holdings, LLC / Kennedy Wilson","Pacific Housing, Inc.",8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)"
