agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,Lindley Parc Apartments,10535 Lindley Affordable L.P.,Los Angeles,Los Angeles,25-116,2025-04-04,authorize,approved,Taylor Equities,,Housing on Merit,50,50,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Candlewood North Apartments,"Post Candlewood North, LP",Los Angeles,Los Angeles,25-117,2025-04-04,authorize,approved,Post Investment Group,,Integrity Housing,189,189,100% at 80% AMI,30,28350.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Aspire Arden Apartments,Clear Capital or an affiliate,Sacramento,Sacramento,,2025-04-04,preliminary_only,,"Clear Capital, LLC",,Housing on Merit,250,100,40% at 80% AMI,30,15000.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,25-144,2025-04-25,authorize,approved,The Sobrato Organization,,"Pacific Housing, Inc.",122,24,20% at 60% AMI; 80% at 80% AMI,30,18300.0,"Grant up to $10,000 (Charitable Affordable Housing)","79 acres. The unit mix consists of 4 studios,",,cmfa-meeting-docs
CMFA,SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,25-145,2025-04-25,authorize,approved,The Sobrato Organization,,"Pacific Housing, Inc.",112,22,20% at 60% AMI; 80% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)","81 acres. The unit mix consists of 5 studios,",,cmfa-meeting-docs
CMFA,685 W 4th Apartments,2 SIOF 685 W Fourth St. LP,Los Angeles,Los Angeles,25-146,2025-04-25,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Summer House Apartments,"The Michaels Development Company I, L.P. or an affiliate",Alameda,Alameda,,2025-04-25,preliminary_only,,The Michaels Organization,,"Pacific Housing, Inc.",615,615,100% at 80% AMI,30,68625.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,569 W 6th Apartments,"SIOF 5 Properties, LP",Los Angeles,Los Angeles,25-147,2025-04-25,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,48,47,100% at 80% AMI,30,7050.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,1540 W Court Apartments,"1540 W. Court Street, LP",Los Angeles,Los Angeles,25-207,2025-05-16,authorize,approved,Visionary Development Enterprises LLC,,Housing on Merit,189,148,78% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Sol Haus Apartments,"Sol Haus Owner LP, California Limited Partnership",San Diego,San Diego,25-209,2025-05-16,authorize,approved,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,147,147,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Palmilla Apartments,BWF III Ethos CA Palmilla LP,San Diego,San Diego,25-208,2025-05-16,authorize,approved,Ethos Real Estate,,"Casa Major, Inc.",203,203,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Waterbend Apartments,Axis Fee Owner LP,,San Francisco,25-219,2025-05-16,authorize,approved,TruAmerica Multifamily LLC,,Affordable Housing Access,136,20,15% at 55% AMI; 85% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-229,2025-05-30,authorize,pulled,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",1008,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,9750 Airport Blvd. Apartments,"Perseverance LAX Affordable, L.P.",Los Angeles,Los Angeles,,2025-05-30,preliminary_only,,Capital Insight,,"Kingdom Development, Inc.",,229,40% at 80% AMI,30,34350.0,"Grant up to $10,000 (Charitable Affordable Housing)",229 of which are designated as affordable housing for residents earning at or below 80% of,,cmfa-meeting-docs
CMFA,Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-230,2025-05-30,authorize,pulled,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",687,687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-247,2025-06-06,authorize,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",1008,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-248,2025-06-06,authorize,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",687,687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,17188 Chatsworth St. Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,,2025-06-06,preliminary_only,,BMI Developments,,"Kingdom Development, Inc.",69,56,81% at 80% AMI,30,8400.0,"Grant up to $10,000 (Charitable Affordable Housing)","17188 Chatsworth St. Apartments, is a new construction",,cmfa-meeting-docs
CMFA,Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-281,2025-06-27,authorize,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",1008,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,11630 S. Main Street Apartments,"4 SIOF 11630 S MAIN ST, LP",Los Angeles,Los Angeles,25-291,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,84,17,20% at 80% AMI,30,2550.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,685 W. 4th St Apartments,"2 SIOF 685 W Fourth St, LP, a Delaware limited partnership",Los Angeles,Los Angeles,25-289,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,569 W. 6th Street. Apartments,"SIOF 5 Properties, LP, a California limited partnership",Los Angeles,Los Angeles,25-288,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,48,47,100% at 80% AMI,30,7050.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-290,2025-06-27,authorize,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",687,687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
