project_id,county,property_name,ain,apn,situs_address,legacy_redundant,assignment_source,method,notes
65,Orange,Casa La Palma Apartments,26324146,,7799 VALLEY VIEW ST LA PALMA,False,collaborator-sheet,,
66,Los Angeles,The Eaves Apartments,5092023021,5092-023-021,920 S GRAMERCY PL LOS ANGELES CA 90019,False,collaborator-sheet,manual_verified,
67,Orange,Coronado Palms Apartments,12918108,,1250.0 S EUCLID ST ANAHEIM CA 92802-1907,False,collaborator-sheet,,
68,Los Angeles,Candlewood North Apartments,2764001013,2764-001-013,9830 RESEDA BLVD LOS ANGELES CA 91324,False,collaborator-sheet,manual_verified,
69,Los Angeles,Lindley Parc Apartments,2731008014,2731-008-014,10535 LINDLEY AVE LOS ANGELES CA 91326,False,collaborator-sheet,manual_verified,
70,San Mateo,Terrace View Apartments,006312850,,"4 Terrace View Ct, Daly City, CA 94015",False,collaborator-sheet,,
70,San Mateo,Terrace View Apartments,006312860,,"35 Eastmoor Ave, Daly City, CA 94015",False,collaborator-sheet,,
70,San Mateo,Terrace View Apartments,006312870,,"45 Eastmoor Ave, Daly City, CA 94015",False,collaborator-sheet,,
70,San Mateo,Terrace View Apartments,006312880,,"55 Eastmoor Ave, Daly City, CA 94015",False,collaborator-sheet,,
70,San Mateo,Terrace View Apartments,006312890,,"65 Eastmoor Ave, Daly City, CA 94015",False,collaborator-sheet,,
70,San Mateo,Terrace View Apartments,006312900,,"75 Eastmoor Ave, Daly City, CA 94015",False,collaborator-sheet,,
70,San Mateo,Terrace View Apartments,006312910,,"85 Eastmoor Ave, Daly City, CA 94015",False,collaborator-sheet,,
70,San Mateo,Terrace View Apartments,006312920,,"95 Eastmoor Ave, Daly City, CA 94015",False,collaborator-sheet,,
71,San Mateo,SoFi Redwood Park Apartments,52082450,,1212 WHIPPLE AVE REDWOOD CITY CA 94062-1556,False,collaborator-sheet,,
72,San Francisco,Waterbend Apartments,5431A041,5431A041,"5880 3rd St, San Francisco, CA 94124",False,collaborator-sheet,,
73,Los Angeles,1540 W Court Apartments,5159020026,5159-020-026,1540 W COURT ST,False,collaborator-sheet,parcel_in_transition,Legacy AIN 5159020011-015 consolidated to 5159020026
73,Los Angeles,1540 W Court Apartments,5159020010,5159-020-010,1526 W COURT ST LOS ANGELES CA 90026,False,collaborator-sheet,manual_verified_multi,Multi-parcel (7)
73,Los Angeles,1540 W Court Apartments,5159020009,5159-020-009,1520 W COURT ST LOS ANGELES CA 90026,False,collaborator-sheet,manual_verified_multi,Multi-parcel (7)
74,San Diego,Sol Haus Apartments,5484004400,,5040.0 LOGAN AVE SAN DIEGO CA 92113-3014,False,collaborator-sheet,,
75,San Diego,Palmilla Apartments,4635902700,,5474.0 RESERVOIR DR 1-36 SAN DIEGO CA 92120-5145,False,collaborator-sheet,,
76,Los Angeles,1451 W. MLK Boulevard Apartments,5036031006,5036-031-006,1451 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90062,False,collaborator-sheet,manual_verified,"AIN in transition at county (renumbered); duplicate sheet row 182 merged into 76, 2026-08-22"
