Applicant / Entity,Property Name,City,County,Grant Description,Agency,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,TOTAL UNITS,Rent Restricted,Built,Address,HAVE RECIEVED WELFARE TAX EXEMPTION,Leasing Link,APN No. 1,APN No. 2,,Property Taxes Link,23 Ass. Value,25 Ass. Value,,City's Cut,ED 1?,Last Tax Amt,Last Tax Yr,Current Amt,Current Yr
99 Ocean Avenue LP,Ventana Residences Apartments,San Francisco,San Francisco,"Grant up to $10,000",CMFA,24-471,12/13/2024,"Presidio Bay Ventures, LLC",,"Pacific Housing, Inc",,YES,,,193,100,2023,"99 OCEAN AVE SAN FRANCISCO, CA 94112-2548",,,6954 018,,,,"$80,836,374","$20,225,243",,"$15,000",,"$965,884.94",2024,"$239,200.50",2025
Prometheus Real Estate Group,HARKEN APARTMENTS,Los Altos,Santa Clara,,CMFA,,1/31/2025,"Prometheus Real Estate Group, Inc.",,Hearthstone Housing Foundation,,YES,,,196,29,,"5150 El Camino Real, Los Altos, CA",,,17004068,17004069,,,,,,"$4,350",,,,,
"BIF IMPACT OZ 1100 BROADWAY BLK, LP",11422 Broadway Apartments,Los Angeles,Los Angeles,,CMFA,25-081,2/21/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,166,165,,"11422 S Broadway, Los Angeles, CA 90061",,,,,,,,,,"$24,750",,,,,
"2533 Mansfield Owner, L.P., a California limited partnership",Mansfield Micro Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-084,2/21/2025,"CIM Group, LLC",,"Pacific Housing, Inc.",,YES,,,116,115,,"2533 S Mansfield Ave, Los Angeles, CA 90016",,,,,,,,,,"$17,250",,,,,
"ENCLAVE LP, a California limited partnership",The Enclave Apartments,Walnut Creek,Contra Costa,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-082,2/21/2025,Tesseract Capital Group,,Housing on Merit,,,,,32,32,,"3081 N Main St, Walnut Creek, CA 94597",,,170-100-027-3,,,,,,,"$4,800",,,,,
"333 Douglas Street, LP, a California limited partnership",333 Douglas Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-080,2/21/2025,Visionary Development Enterprises LLC,,Housing on Merit,,,,,33,32,,"333 Douglas St, Los Angeles, CA",,,,,,,,,,"$4,800",,,,,
"7777 Valley View, L.P., a California limited partnership",Casa La Palma Apartments,La Palma,Orange,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-103,3/14/2025,Mariman & Co.,,AOF/Pacific Affordable Housing Corporation,,NO,,,272,270,1978,"7777 Valley View Street, La Palma, CA",,,,,,,,,,"$40,500",,,,,
"920 Gramercy Upwell, LP, a Delaware limited partnership",The Eaves Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-104,3/14/2025,Treehouse Community,,Butterfly’s Haven,,,,,13,13,,"920 S. Gramercy Place, Los Angeles, CA",,,,,,,,,,"$2,500",,,,,
"Coronado Owner, LP",Coronado Palms Apartments,Anaheim,Orange,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-102,3/14/2025,TriWest Multifamily,,"Kingdom Development, Inc.",,,,,169,68,,"1250 S. Euclid St., Anaheim, CA.",,,,,,,,,,"$10,200",,,,,
"Post Candlewood North, LP",Candlewood North Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-117,4/4/2025,Post Investment Group,,Integrity Housing,,NO,,,189,189,1964,"9830 Reseda Blvd, Northridge, CA 91324",,,,,,,,,,"$28,350",,,,,
