ain,apn,situs_address,input_address,property_name,tract_number,method,use_description,notes
4025014010,4025-014-010,9425 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014011,4025-014-011,9433 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014012,4025-014-012,9441 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014013,4025-014-013,9501 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014014,4025-014-014,9509 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014015,4025-014-015,9517 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014016,4025-014-016,9525 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014017,4025-014-017,9533 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014018,4025-014-018,9541 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025015001,4025-015-001,9601 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025015002,4025-015-002,9609 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
7157031001,7157-031-001,2697 E 56TH WAY LONG BEACH CA 90805,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (33)
7157031002,7157-031-002,2687 E 56TH WAY LONG BEACH CA 90805,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (33)
7157031003,7157-031-003,2677 E 56TH WAY LONG BEACH CA 90805,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (33)
7157031004,7157-031-004,2667 E 56TH WAY LONG BEACH CA 90805,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (33)
